DateTime,Humidity Change 12 hours before,Precipation Rate,Scaled Humidity
2020:01:01:00,,,10
2020:01:01:06,10,0,20
2020:01:01:12,-4,0,6
2020:01:01:18,-23,0,-3
2020:01:02:00,11,0,17
2020:01:02:06,23,15,20
2020:01:02:12,-22,0,-5
2020:01:02:18,-8,0,12
2020:01:03:00,15,0,10
2020:01:03:06,8,0,20
2020:01:03:12,-8,0,2
2020:01:03:18,0,0,20
2020:01:04:00,12,0,14
2020:01:04:06,0,15,20
2020:01:04:12,-15,0,-1
2020:01:04:18,0,0,20
2020:01:05:00,-12,0,-13
2020:01:05:06,-15,0,5
2020:01:05:12,-22,0,-35
2020:01:05:18,-13,0,-8
2020:01:06:00,23,0,-12
2020:01:06:06,24,0,16
2020:01:06:12,6,0,-6
2020:01:06:18,-6,0,10
2020:01:07:00,20,0,14
2020:01:07:06,10,0,20
2020:01:07:12,-10,0,4
2020:01:07:18,-18,0,2
2020:01:08:00,-8,0,-4
2020:01:08:06,18,0,20
2020:01:08:12,4,0,0
2020:01:08:18,-15,0,5
2020:01:09:00,16,0,16
2020:01:09:06,12,0,17
2020:01:09:12,-25,0,-9
2020:01:09:18,-11,0,6
2020:01:10:00,25,0,16
2020:01:10:06,14,30,20
2020:01:10:12,-9,75,7
2020:01:10:18,-7,0,13
2020:01:11:00,2,0,9
2020:01:11:06,-1,0,12
2020:01:11:12,-22,0,-13
2020:01:11:18,-16,0,-4
2020:01:12:00,33,0,20
2020:01:12:06,24,0,20
2020:01:12:12,-33,0,-13
2020:01:12:18,-29,0,-9
2020:01:13:00,8,0,-5
2020:01:13:06,29,15,20
2020:01:13:12,-8,0,-13
2020:01:13:18,-23,0,-3
2020:01:14:00,12,0,-1
2020:01:14:06,10,0,7
2020:01:14:12,-13,0,-14
2020:01:14:18,-7,0,0
2020:01:15:00,17,0,3
2020:01:15:06,11,0,11
2020:01:15:12,-28,0,-25
2020:01:15:18,-16,0,-5
2020:01:16:00,40,0,15
2020:01:16:06,19,0,14
2020:01:16:12,-21,0,-6
2020:01:16:18,-13,0,1
2020:01:17:00,3,0,-3
2020:01:17:06,-2,0,-1
2020:01:17:12,-7,0,-10
2020:01:17:18,-2,0,-3
2020:01:18:00,6,0,-4
2020:01:18:06,12,0,9
2020:01:18:12,-12,15,-16
2020:01:18:18,-6,555,3
2020:01:19:00,32,765,16
2020:01:19:06,16,1740,19
2020:01:19:12,-32,0,-16
2020:01:19:18,-29,0,-10
2020:01:20:00,-2,855,-18
2020:01:20:06,15,5655,5
2020:01:20:12,15,6090,-3
2020:01:20:18,14,6450,19
2020:01:21:00,14,7050,11
2020:01:21:06,1,5475,20
2020:01:21:12,9,5640,20
2020:01:21:18,-7,2070,13
2020:01:22:00,0,420,20
2020:01:22:06,3,1140,16
2020:01:22:12,0,2745,20
2020:01:22:18,4,540,20
2020:01:23:00,0,390,20
2020:01:23:06,0,105,20
2020:01:23:12,-2,0,18
2020:01:23:18,-2,0,18
2020:01:24:00,-8,0,10
2020:01:24:06,-4,0,14
2020:01:24:12,6,30,16
2020:01:24:18,-2,15,12
2020:01:25:00,-1,60,15
2020:01:25:06,8,240,20
2020:01:25:12,3,225,18
2020:01:25:18,-7,120,13
2020:01:26:00,2,90,20
2020:01:26:06,7,375,20
2020:01:26:12,0,270,20
2020:01:26:18,0,105,20
2020:01:27:00,-15,15,5
2020:01:27:06,-11,0,9
2020:01:27:12,9,0,14
2020:01:27:18,3,0,12
2020:01:28:00,3,0,17
2020:01:28:06,7,0,19
2020:01:28:12,-15,0,2
2020:01:28:18,-11,0,8
2020:01:29:00,4,0,6
2020:01:29:06,5,0,13
2020:01:29:12,-8,0,-2
2020:01:29:18,-7,0,6
2020:01:30:00,15,0,13
2020:01:30:06,9,0,15
2020:01:30:12,-10,0,3
2020:01:30:18,-2,0,13
2020:01:31:00,14,0,17
2020:01:31:06,7,0,20
2020:01:31:12,-7,0,10
2020:01:31:18,-12,0,8
2020:02:01:00,-5,0,5
2020:02:01:06,10,0,18
2020:02:01:12,1,0,6
2020:02:01:18,-4,0,14
2020:02:02:00,1,0,7
2020:02:02:06,-1,15,13
2020:02:02:12,-11,0,-4
2020:02:02:18,-12,0,1
2020:02:03:00,-2,0,-6
2020:02:03:06,19,15,20
2020:02:03:12,-13,0,-19
2020:02:03:18,-43,0,-23
2020:02:04:00,25,0,6
2020:02:04:06,43,0,20
2020:02:04:12,-16,0,-10
2020:02:04:18,-18,0,2
2020:02:05:00,17,0,7
2020:02:05:06,10,0,12
2020:02:05:12,-25,0,-18
2020:02:05:18,-24,0,-12
2020:02:06:00,3,0,-15
2020:02:06:06,28,0,16
2020:02:06:12,-6,0,-21
2020:02:06:18,-15,0,1
2020:02:07:00,32,0,11
2020:02:07:06,17,0,18
2020:02:07:12,-20,0,-9
2020:02:07:18,-24,0,-6
2020:02:08:00,13,0,4
2020:02:08:06,26,45,20
2020:02:08:12,0,0,4
2020:02:08:18,-20,0,0
2020:02:09:00,4,0,8
2020:02:09:06,14,0,14
2020:02:09:12,-12,0,-4
2020:02:09:18,-10,0,4
2020:02:10:00,8,0,4
2020:02:10:06,6,0,10
2020:02:10:12,-11,0,-7
2020:02:10:18,-11,0,-1
2020:02:11:00,12,0,5
2020:02:11:06,15,0,14
2020:02:11:12,-7,0,-2
2020:02:11:18,-13,0,1
2020:02:12:00,13,0,11
2020:02:12:06,17,0,18
2020:02:12:12,-15,375,-4
2020:02:12:18,-22,225,-4
2020:02:13:00,16,615,12
2020:02:13:06,22,15,18
2020:02:13:12,-12,0,0
2020:02:13:18,-12,0,6
2020:02:14:00,20,0,20
2020:02:14:06,9,0,15
2020:02:14:12,-27,0,-7
2020:02:14:18,-30,0,-15
2020:02:15:00,8,0,1
2020:02:15:06,35,15,20
2020:02:15:12,-13,0,-12
2020:02:15:18,-25,0,-5
2020:02:16:00,12,0,0
2020:02:16:06,16,0,11
2020:02:16:12,-33,0,-33
2020:02:16:18,-23,0,-12
2020:02:17:00,24,0,-9
2020:02:17:06,25,0,13
2020:02:17:12,10,0,1
2020:02:17:18,-10,0,3
2020:02:18:00,14,0,15
2020:02:18:06,17,0,20
2020:02:18:12,-30,0,-15
2020:02:18:18,-34,0,-14
2020:02:19:00,29,0,14
2020:02:19:06,30,0,16
2020:02:19:12,-28,0,-14
2020:02:19:18,-37,0,-21
2020:02:20:00,18,0,4
2020:02:20:06,41,0,20
2020:02:20:12,-25,0,-21
2020:02:20:18,-45,0,-25
2020:02:21:00,23,0,2
2020:02:21:06,40,0,15
2020:02:21:12,-21,0,-19
2020:02:21:18,-37,0,-22
2020:02:22:00,7,0,-12
2020:02:22:06,36,0,14
2020:02:22:12,-4,0,-16
2020:02:22:18,-33,0,-19
2020:02:23:00,-11,0,-27
2020:02:23:06,5,0,-14
2020:02:23:12,3,0,-24
2020:02:23:18,-7,0,-21
2020:02:24:00,13,0,-11
2020:02:24:06,41,15,20
2020:02:24:12,-22,0,-33
2020:02:24:18,-35,0,-15
2020:02:25:00,32,0,-1
2020:02:25:06,30,15,15
2020:02:25:12,-13,0,-14
2020:02:25:18,-11,0,4
2020:02:26:00,27,0,13
2020:02:26:06,8,0,12
2020:02:26:12,-27,0,-14
2020:02:26:18,-28,0,-16
2020:02:27:00,33,0,19
2020:02:27:06,36,0,20
2020:02:27:12,-26,0,-7
2020:02:27:18,-18,0,2
2020:02:28:00,5,0,-2
2020:02:28:06,15,0,17
2020:02:28:12,-12,0,-14
2020:02:28:18,-16,0,1
2020:02:29:00,17,0,3
2020:02:29:06,13,0,14
2020:02:29:12,-14,0,-11
2020:02:29:18,-6,0,8
2020:03:01:00,19,0,8
2020:03:01:06,12,0,20
2020:03:01:12,-18,0,-10
2020:03:01:18,-20,15,0
2020:03:02:00,9,1140,-1
2020:03:02:06,20,645,20
2020:03:02:12,2,120,1
2020:03:02:18,-5,0,15
2020:03:03:00,-4,0,-3
2020:03:03:06,-4,0,11
2020:03:03:12,14,0,11
2020:03:03:18,1,0,12
2020:03:04:00,-8,0,3
2020:03:04:06,-3,0,9
2020:03:04:12,9,0,12
2020:03:04:18,2,0,11
2020:03:05:00,-8,0,4
2020:03:05:06,1,0,12
2020:03:05:12,-9,0,-5
2020:03:05:18,-1,0,11
2020:03:06:00,-4,0,-9
2020:03:06:06,4,0,15
2020:03:06:12,-1,60,-10
2020:03:06:18,-9,0,6
2020:03:07:00,13,0,3
2020:03:07:06,10,0,16
2020:03:07:12,0,0,3
2020:03:07:18,0,0,16
2020:03:08:00,8,0,11
2020:03:08:06,-4,0,12
2020:03:08:12,-7,0,4
2020:03:08:18,6,0,18
2020:03:09:00,8,0,12
2020:03:09:06,2,0,20
2020:03:09:12,-5,0,7
2020:03:09:18,-7,0,13
2020:03:10:00,13,0,20
2020:03:10:06,6,0,19
2020:03:10:12,-18,0,2
2020:03:10:18,-15,0,4
2020:03:11:00,3,0,5
2020:03:11:06,-2,0,2
2020:03:11:12,-17,0,-12
2020:03:11:18,-18,0,-16
2020:03:12:00,6,0,-6
2020:03:12:06,27,0,11
2020:03:12:12,2,0,-4
2020:03:12:18,0,0,11
2020:03:13:00,16,15,12
2020:03:13:06,9,45,20
2020:03:13:12,-10,15,2
2020:03:13:18,0,195,20
2020:03:14:00,16,45,18
2020:03:14:06,0,45,20
2020:03:14:12,-10,0,8
2020:03:14:18,-14,60,6
2020:03:15:00,-5,0,3
2020:03:15:06,14,165,20
2020:03:15:12,0,0,3
2020:03:15:18,0,300,20
2020:03:16:00,17,3045,20
2020:03:16:06,0,4620,20
2020:03:16:12,0,5010,20
2020:03:16:18,0,1830,20
2020:03:17:00,0,225,20
2020:03:17:06,0,225,20
2020:03:17:12,0,240,20
2020:03:17:18,0,240,20
2020:03:18:00,-8,0,12
2020:03:18:06,-2,15,18
2020:03:18:12,-7,0,5
2020:03:18:18,-12,0,6
2020:03:19:00,6,0,11
2020:03:19:06,7,0,13
2020:03:19:12,-10,0,1
2020:03:19:18,-4,0,9
2020:03:20:00,13,0,14
2020:03:20:06,6,15,15
2020:03:20:12,-23,0,-9
2020:03:20:18,-21,0,-6
2020:03:21:00,10,0,1
2020:03:21:06,17,0,11
2020:03:21:12,-10,0,-9
2020:03:21:18,-18,0,-7
2020:03:22:00,21,0,12
2020:03:22:06,26,390,19
2020:03:22:12,-7,1290,5
2020:03:22:18,-2,525,17
2020:03:23:00,13,270,18
2020:03:23:06,-1,600,16
2020:03:23:12,-4,1650,14
2020:03:23:18,4,330,20
2020:03:24:00,6,105,20
2020:03:24:06,-9,360,11
2020:03:24:12,-15,180,5
2020:03:24:18,-5,30,6
2020:03:25:00,8,0,13
2020:03:25:06,6,540,12
2020:03:25:12,-7,0,6
2020:03:25:18,-21,15,-9
